Date,Actual,RW,SES,HOLT,ARIMA
2011-01-02,0.7561,0.7612,0.7661680619820433,0.7655889392637888,0.7648724716695303
2011-01-09,0.7585,0.7561,0.7559646179417813,0.7582834035316741,0.7537519918460388
2011-01-16,0.7632,0.7585,0.759660571427565,0.7608424875235537,0.7596038256452645
2011-01-23,0.7437,0.7632,0.7661332708792961,0.7662237263489121,0.7653730769932019
2011-01-30,0.7324,0.7437,0.735955469915724,0.740989203869513,0.7352066147138971
2011-02-06,0.7309,0.7324,0.7228254107437836,0.7273447769224007,0.7273457265092617
2011-02-13,0.7351,0.7309,0.7253409870338051,0.7268350878758051,0.7302318627058363
2011-02-20,0.737,0.7351,0.7341001731498905,0.7332013267749253,0.736976666105557
2011-02-27,0.7288,0.737,0.7374322343673232,0.7360936092892073,0.737847174386426
2011-03-06,0.7216,0.7288,0.7252247179914773,0.7253346239526586,0.7252017208751768
2011-03-13,0.7187,0.7216,0.7163930709053891,0.7176576815414005,0.7184045596862652
2011-03-20,0.7142,0.7187,0.7145758730055475,0.7150706947955809,0.7174082519087011
2011-03-27,0.7063,0.7142,0.7099309186757103,0.7103563556484418,0.7121920397907179
2011-04-03,0.7076,0.7063,0.7004315400588659,0.7014769590428879,0.7027538676616003
2011-04-10,0.6991,0.7076,0.7049499265873498,0.7050139782568903,0.7081810615744284
2011-04-17,0.6916,0.6991,0.6939180837397068,0.6945549961878767,0.6953551722407336
2011-04-24,0.6919,0.6916,0.685458106064339,0.6863329927308264,0.6882536229140442
2011-05-01,0.6803,0.6919,0.6885482969588396,0.6880946578999942,0.6920336066180238
2011-05-08,0.6805,0.6803,0.6735667852615774,0.6736002187125342,0.6752058874718369
2011-05-15,0.7004,0.6805,0.6766113376983639,0.676291406677355,0.6805868896733501
2011-05-22,0.7044,0.7004,0.7070281937896724,0.7074359345971822,0.7092314164855698
2011-05-29,0.7067,0.7044,0.7096515168797949,0.7072321490544066,0.7060885589573639
2011-06-05,0.6933,0.7067,0.7106761512978311,0.7094720012545556,0.7076701587968636
2011-06-12,0.6868,0.6933,0.6908230880598996,0.6917616237493626,0.6878022702845443
2011-06-19,0.6988,0.6868,0.6826407090162055,0.6841065407128013,0.6841018145693962
2011-06-26,0.7,0.6988,0.7000303976070421,0.6999519268777435,0.7040114942860386
2011-07-03,0.6958,0.7,0.7012238233077223,0.7012199456887523,0.6983369576362908
2011-07-10,0.6943,0.6958,0.6954684678222246,0.6956217539389328,0.6947367041677657
2011-07-17,0.7075,0.6943,0.693654279023759,0.6938108797595569,0.6941149805840262
2011-07-24,0.7028,0.7075,0.7104555955608658,0.7106787817696941,0.713230116602327
2011-07-31,0.6949,0.7028,0.7035853973968097,0.7038056207630721,0.6987460914842111
2011-08-07,0.7004,0.6949,0.694057348721308,0.6938322654650021,0.6933768562150585
2011-08-14,0.7012,0.7004,0.7006192261087122,0.7009886023615614,0.7033246085813916
2011-08-21,0.6961,0.7012,0.7015199172883337,0.7018966123901503,0.7003302309009984
2011-08-28,0.6934,0.6961,0.6955360591618738,0.6953293841762492,0.6943573615353352
2011-09-04,0.6954,0.6934,0.6924998018140239,0.6922297622648685,0.6930031576700669
2011-09-11,0.7147,0.6954,0.694955796933778,0.6950267576364815,0.6963978466139561
2011-09-18,0.7289,0.7147,0.7173663903700508,0.7175791210712429,0.7225455537646783
2011-09-25,0.7343,0.7289,0.7359279800818985,0.735810305603768,0.7315746463724196
2011-10-02,0.7397,0.7343,0.7406682571753647,0.7409896041455409,0.7354862734595498
2011-10-09,0.7494,0.7397,0.7458044082760591,0.746220723865975,0.741541775736987
2011-10-16,0.7314,0.7494,0.7566142735933069,0.7568638450149597,0.7528670965664835
2011-10-23,0.724,0.7314,0.7333106778834703,0.73265363982708,0.7225652184657566
2011-10-30,0.7146,0.724,0.7247341791950509,0.7230472463729307,0.724563991334565
2011-11-06,0.7217,0.7146,0.7135548609493891,0.7116552751388131,0.7106414939843916
2011-11-13,0.7289,0.7217,0.7221725271238781,0.7210955093466328,0.7259715607750067
2011-11-20,0.7364,0.7289,0.7301352592257714,0.7303820231755228,0.7300280969596629
2011-11-27,0.7459,0.7364,0.7383622687550446,0.7393491433539516,0.7389141014488163
2011-12-04,0.7479,0.7459,0.7488604990726911,0.7505652318650666,0.7486815511819357
2011-12-11,0.7467,0.7479,0.7507261903159215,0.7519971918963753,0.7475897985956051
2011-12-18,0.7615,0.7467,0.7490094143988543,0.7495867632796445,0.746346442991339
2011-12-25,0.7661,0.7615,0.7654426190843067,0.7673897347711178,0.7676142811948101
